PRN,COSPAR_ID,NORAD_ID,SYYYY,SMM,SDD,SHH,SMM,SSS,EYYYY,EMM,EDD,EHH,EMM,ESS
 1,1992-079A,22231,1992,11,22,00,00,00,2008,10,17,00,00,00
 1,1993-032A,22657,2008,10,23,00,00,00,2009,01,07,00,00,00
 1,2009-014A,34661,2009,03,24,00,00,00,2011,05,07,00,00,00
 1,1993-054A,22779,2011,06,02,00,00,00,2011,07,13,00,00,00
 1,2011-036A,37753,2011,07,16,00,00,00,,,,,,  
 2,1989-044A,20061,1989,06,10,00,00,00,2004,05,13,00,00,00
 2,2004-045A,28474,2004,11,06,00,00,00,,,,,,  
 3,1985-093A,16129,1985,10,09,00,00,00,1994,04,14,00,00,00
 3,1996-019A,23833,1996,03,28,00,00,00,2014,08,19,00,00,00
 3,1993-054A,22779,2014,09,05,00,00,00,2014,10,21,00,00,00
 3,2014-068A,40294,2014,10,29,00,00,00,,,,,,  
 4,1978-020A,10684,1978,02,22,00,00,00,1985,07,18,00,00,00
 4,1993-068A,22877,1993,10,26,00,00,00,2015,11,09,23,59,59
 4,2009-014A,34661,2016,02,02,00,00,00,2016,09,14,00,00,00
 4,1992-079A,22231,2016,09,15,00,00,00,2016,12,06,00,00,00
 4,1993-068A,22877,2016,12,09,00,00,00,2017,01,04,00,00,00
 4,2009-014A,34661,2017,01,06,00,00,00,2017,05,13,00,00,00
 4,1997-067A,25030,2017,05,19,00,00,00,2017,07,14,23,59,59
 4,1994-016A,23027,2017,07,20,00,00,00,2017,11,28,23,59,59
 4,2009-014A,34661,2017,12,01,00,00,00,2018,09,29,00,00,00
 4,1994-016A,23027,2018,10,10,00,00,00,2019,01,03,00,00,00
 4,2018-109A,43873,2019,01,09,00,00,00,2019,07,13,00,00,00
 4,1994-016A,23027,2019,07,13,00,00,00,2019,10,08,23,59,59
 4,2018-109A,43873,2019,10,21,00,00,00,,,,,,  
 5,1980-011A,11690,1980,02,09,00,00,00,1984,05,12,00,00,00
 5,1993-054A,22779,1993,08,30,00,00,00,2009,06,09,00,00,00
 5,2009-043A,35752,2009,08,17,00,00,00,,,,,,  
 6,1978-093A,11054,1978,10,06,00,00,00,1992,05,19,00,00,00
 6,1994-016A,23027,1994,03,10,00,00,00,2014,03,04,00,00,00
 6,2009-014A,34661,2014,04,03,00,00,00,2014,05,06,00,00,00
 6,2014-026A,39741,2014,05,17,00,00,00,,,,,,  
 7,1978-047A,10893,1978,05,13,00,00,00,1988,02,13,00,00,00
 7,1993-032A,22657,1993,05,13,00,00,00,2008,01,15,00,00,00
 7,2008-012A,32711,2008,03,15,00,00,00,,,,,,  
 8,1978-112A,11141,1978,12,10,00,00,00,1989,10,15,00,00,00
 8,1997-067A,25030,1997,11,06,00,00,00,2015,04,14,00,00,00
 8,2009-014A,34661,2015,04,30,00,00,00,2015,07,02,00,00,00
 8,2015-033A,40730,2015,07,15,00,00,00,,,,,,  
 9,1980-032A,11783,1980,04,26,00,00,00,1991,03,07,00,00,00
 9,1993-042A,22700,1993,06,26,00,00,00,2014,07,22,00,00,00
 9,2014-045A,40105,2014,08,02,00,00,00,,,,,,  
10,1996-041A,23953,1996,07,16,00,00,00,2015,08,04,00,00,00
10,1994-016A,23027,2015,09,16,00,00,00,2015,10,27,00,00,00
10,2015-062A,41019,2015,10,31,00,00,00,,,,,,  
11,1983-072A,14189,1983,07,14,00,00,00,1993,05,05,00,00,00
11,1999-055A,25933,1999,10,07,00,00,00,2021,06,16,23,59,59
11,2021-054A,48859,2021,06,17,00,00,00,,,,,,  
12,1984-097A,15271,1984,09,08,00,00,00,1996,03,28,00,00,00
12,2006-052A,29601,2006,11,17,00,00,00,,,,,,  
